5674,-9579,16743,-4376,862,720,813,-1531,1089,-26074,-12682,-5101,7916
6646,-9841,14977,-695,275,948,735,-1658,950,-29965,-12365,-7762,8673
8644,-12082,14811,472,374,565,735,-1658,950,-29965,-12365,-7762,8673
4143,-13696,14239,-1135,-1332,341,691,-1677,949,-6893,-12398,-5961,8424
10789,-11665,8683,-2161,-1069,-5,691,-1677,949,-6893,-12398,-5961,8424
2083,-9084,10981,-1633,-1299,-535,740,-1715,838,-17565,-12185,-12097,8912
3432,-3464,1372,1889,-1755,-311,740,-1715,838,15407,-12305,8871,8738
66,-1327,3814,4456,-1215,-1649,1010,-1468,1007,-21637,-12630,-20065,8113
-1812,-299,-2947,5690,-2670,-1206,1010,-1468,1007,-21637,-12630,-20065,8113
5142,-1171,-6893,11252,-5898,314,1174,-1186,1186,-2676,-13397,7240,6940
11438,4424,-12991,11652,1519,1658,1174,-1186,1186,-2676,-13397,7240,6940
12391,9199,-8211,6228,-22569,-696,1505,-851,1096,-29124,-13635,28485,5743
585,1603,1102,14056,-15146,5647,1505,-851,1096,-29124,-13635,28485,5743
-674,-1141,712,-6946,6301,5584,1436,-946,1111,-31729,-14257,-5277,5355
2756,-211,439,-20426,-9773,-3468,1436,-946,1111,-16237,-12067,-19756,7346
1142,-637,2754,-741,-4646,-1393,1745,-1019,-330,25532,-10366,-22920,8358
1394,-675,1064,1948,-5127,954,1745,-1019,-330,25532,-10366,-22920,8358
1209,216,378,-1270,-5344,-496,1664,-1031,-600,-6427,-9626,15338,8507
1140,2329,2325,1626,-4868,37,1664,-1031,-600,-6427,-9626,15338,8507
648,2659,2125,2932,-4005,846,1552,-1109,-743,2511,-9237,1112,8196
1383,1513,1511,100,-3756,92,1552,-1109,-743,2511,-9237,1112,8196
413,934,1485,-2680,-3200,-1908,1488,-1037,-949,29150,-8483,12221,8239
82,689,1397,-2800,-2508,-2735,1488,-1037,-949,29150,-8483,12221,8239
-227,838,1815,-778,-1868,-3298,1504,-822,-1119,28763,-7767,-1048,8187
-918,605,1928,301,-1703,-3015,1504,-822,-1119,-16109,-7557,-16905,7613
-188,-2509,2234,301,-1703,-3015,1504,-822,-1119,-16109,-7557,-16905,7613
183,-2012,-3911,301,-1703,-3015,1504,-822,-1119,-16109,-7557,-16905,7613
105,-1763,-4566,-2421,12410,1451,1984,278,-424,1483,-8637,3275,5388
-1852,-1076,-2778,-1595,10107,1563,1984,278,-424,1483,-8637,3275,5388
-3145,-1307,-1724,1344,5834,2732,2040,145,105,-29900,-10228,-5961,5096
-3564,-1982,-2279,277,5075,2057,2040,145,105,-29900,-10228,-5961,5096
-2182,-774,-637,-1575,2313,-1142,2040,145,105,-29900,-10228,-5961,5096
-240,-880,-791,2798,-4262,165,2040,145,105,-29900,-10228,-5961,5096
1108,216,624,2798,-4262,165,2040,145,105,-29900,-10228,-5961,5096
1224,-70,511,1053,1082,-498,2010,90,-378,-21703,-9762,8873,3874
1634,-852,457,1005,1673,-522,2010,90,-378,-21703,-9762,8873,3874
2307,-938,-16,1226,2606,-699,2029,113,-248,20905,-10190,20634,3664
1247,184,-320,1675,3081,-864,2029,113,-248,-15676,-10632,-7925,3297
-237,205,-197,1675,3081,-864,2029,113,-248,-15676,-10632,-7925,3297
-124,268,133,-1149,1188,972,1801,-93,968,12952,-13475,4609,2578
509,480,-164,-1448,-79,244,1785,-165,990,18943,-13519,3958,3087
683,126,-146,-1727,-177,-58,1785,-165,990,18943,-13519,3958,3087
584,-156,-277,-1592,625,-11,1781,-214,986,11151,-13443,-26728,3479
577,-59,-618,-1496,966,-6,1781,-214,986,11151,-13443,-26728,3479
190,206,-258,-533,1631,192,1744,-254,1042,-7572,-13519,-4108,3823
67,328,-266,-365,1745,286,1744,-254,1042,-7572,-13519,-4108,3823
874,245,-247,-937,949,356,1744,-254,1042,-7572,-13519,-4108,3823
129,463,44,483,1405,310,1659,-312,1158,-31185,-13777,-10253,3799
320,161,-272,183,1626,370,1659,-312,1158,-31185,-13777,-10253,3799
383,-43,-478,-1824,970,-176,1606,-342,1223,31741,-13894,-24111,3745
1293,-21,-494,-2496,646,-359,1606,-342,1223,31741,-13894,-24111,3745
1170,41,115,-453,113,75,1595,-403,1218,-16043,-13797,16415,3904
-264,1029,561,776,249,445,1595,-403,1218,-16043,-13797,16415,3904
-1112,832,460,310,936,647,1566,-403,1256,3868,-13934,-29769,3979
-1068,511,250,-571,492,501,1566,-403,1256,3868,-13934,-29769,3979
-1655,930,372,-1233,-158,-388,1554,-445,1256,3868,-13934,-29769,3979
-2296,1724,1534,-540,-268,-855,1554,-445,1256,16222,-13908,27060,4201
-2964,1002,479,-691,902,-2215,1566,-385,1261,-30865,-13798,32570,3967
-480,-769,-1267,-1985,387,-3221,1566,-385,1261,-30865,-13798,32570,3967
882,-689,-1841,-1254,-273,-3913,1594,-269,1256,17855,-13391,-15907,4033
3122,-2554,-2912,-877,-308,-3539,1594,-269,1256,17855,-13391,-15907,4033
20010,8775,6310,-3240,-1815,-2035,1649,-199,1196,-24944,-12897,16193,4159
-12376,7831,-6218,-1710,2717,417,1649,-199,1196,-24944,-12897,16193,4159
12280,-7832,5098,-14268,-4101,5981,1463,-759,1214,-27245,-12917,6119,5911
6840,-6567,5960,422,1779,4247,1463,-759,1214,-27245,-12917,6119,5911
7488,-602,9791,422,1779,4247,1463,-759,1214,-27245,-12917,6119,5911
6872,-6271,9386,704,2693,2384,1201,-1185,1160,20570,-12585,-32180,7298
10726,-9615,9967,-3775,2346,396,1201,-1185,1160,20570,-12585,-32180,7298
11891,-11707,10659,-2334,3170,1479,1086,-1311,1137,11111,-12362,25670,7524
8549,-9904,14084,-3457,2016,1115,1086,-1311,1137,11111,-12362,25670,7524
7766,-9449,13067,-1412,1249,1786,964,-1450,1077,7274,-12217,-12268,8144
5107,-9851,14192,-1820,465,1359,964,-1450,1077,7274,-12217,-12268,8144
