8758,15112,11150,158,-535,-323,1031,-756,1599,10047,6106,4858,2578
11106,12158,7473,248,-2059,1214,1106,-766,1543,-21800,5860,-1708,3321
7886,12106,9156,-789,-3064,2314,1137,-789,1508,-2318,5674,2773,3082
1980,4885,3005,-2708,-3311,4365,1238,-1277,1014,-23332,3322,-8915,4317
6071,-9944,1690,-7610,-13550,8753,1116,-1707,175,2737,611,-8576,5598
1563,5380,2124,-6943,-4023,-319,1201,-1565,547,411,1320,-25609,5275
6223,1037,-290,-877,7946,2752,1041,-1594,752,-30050,1518,-6041,4328
11564,122,1855,-5458,8135,-13199,1041,-1594,752,-30050,1518,-6041,4328
15303,471,1101,-5458,8135,-13199,1041,-1594,752,-30050,1518,-6041,4328
14572,-315,-1483,-773,9880,-5421,123,-436,1997,13973,12420,-27009,-874
13422,-377,-1042,-773,9880,-5421,123,-436,1997,13973,12420,-27009,-874
11547,-577,108,-773,9880,-5421,-875,-406,1806,4287,14058,5532,-3307
10852,2251,3130,3409,9790,-5975,-1536,-566,1230,24323,14308,31432,-3974
8573,283,2314,4545,7747,-8211,-1585,-630,1132,-30526,14269,21685,-4012
11061,159,3444,4545,7747,-8211,-1578,-1166,584,21236,12995,-10095,-4648
10823,2776,4672,2467,8635,-7070,-1384,-1474,321,-11023,11602,-29121,-4466
12196,632,4934,1600,7713,-8692,-970,-1795,170,-14420,9771,-12507,-4657
12735,1151,6203,1600,7713,-8692,-970,-1795,170,-32643,7502,-6931,-4380
12994,1364,6544,3440,8502,-8751,-307,-2008,253,-27882,6657,22963,-4519
13791,1051,6391,3440,8502,-8751,44,-2006,406,5084,4838,12052,-4305
13763,1342,5570,3358,8437,-9345,509,-1850,713,15780,1888,-7041,-3612
16172,3620,7017,3494,8193,-9291,827,-1527,1085,24809,-1112,1132,-3324
11358,198,4417,3021,7498,-9811,898,-1392,1203,21180,-2114,-10875,-3115
14312,-1013,1105,284,7129,-7198,-309,-16,2024,18685,-12652,-14858,9157
9314,1992,-3150,-2415,8703,-3061,-1153,-1661,320,4660,-12334,-4473,9710
3159,897,-1704,-2415,8703,-3061,-1153,-1661,320,-14183,-11954,21505,9556
7145,-30,2195,2118,-1672,190,-1046,-1757,-93,-30958,-11314,20526,10320
5164,490,2910,-5331,2059,-1154,-1012,-1766,-220,-17499,-10481,-29748,10891
6008,615,1977,-887,7809,701,-990,-1732,-458,28603,-10201,23755,10844
6266,661,1861,-887,7809,701,-894,-1717,-666,4208,-9462,24563,11103
6993,1127,1900,-377,7040,38,-835,-1714,-745,-31728,-8452,29968,11125
7031,1226,2090,-1166,7047,333,-638,-1696,-953,4107,-8063,-17069,10941
7526,1208,1677,-1166,7047,333,-638,-1696,-953,5140,-7197,-6860,10981
7985,1340,1706,-1688,7929,470,-390,-1646,-1154,-23724,-6701,26190,10598
7585,2280,2647,-1688,7929,470,-390,-1646,-1154,-17959,-5564,15259,10299
7227,2614,3412,-483,11563,-833,26,-1613,-1261,17719,-4868,-1083,10235
6279,1864,3869,-483,11563,-833,26,-1613,-1261,-27615,-3217,7279,9500
6587,1423,4055,-2270,11939,-1404,603,-1546,-1199,-18796,-2318,21494,9299
7015,1878,4309,-2270,11939,-1404,603,-1546,-1199,-31545,-695,12836,8498
5814,2054,4448,25,10689,-1308,1061,-1474,-945,28372,44,4600,7953
4909,2359,6194,617,9816,-658,1272,-1461,-662,14463,3123,-13835,6089
5585,2612,6318,627,9617,-924,1490,-1402,-64,7544,3716,-22992,5542
4903,2611,6306,627,9617,-924,1490,-1402,-64,-1235,4880,23635,4444
5461,2798,5529,225,9862,-1455,1491,-1331,444,-23365,5482,-7945,4064
7720,1959,827,225,9862,-1455,1420,-1277,737,29852,6654,12796,2865
-31850,-19247,14208,225,9862,-1455,1420,-1277,737,-12831,10715,-24303,-607
9012,10017,10623,19485,19228,24065,1162,-1330,1035,14534,9049,-28623,144
11840,13610,9958,16708,3025,-531,963,-818,1611,1765,8959,-13778,1482
6535,7667,8118,16708,3025,-531,963,-818,1611,-6950,8727,32036,1149
7326,9682,15968,1011,-1674,-1298,1144,-1079,1311,-8437,8781,-25789,1179
