9758,-6054,16056,-1987,828,1745,1409,-571,1371,-11419,-13868,26320,4710
14771,-9340,15430,-927,47,503,1371,-698,1351,13144,-13852,-60,5119
12816,-7472,15660,-2285,16,-37,1371,-698,1351,13144,-13852,-60,5119
11549,-5095,12423,424,-54,-1067,1408,-698,1312,19615,-13683,-22119,5289
5669,-6113,10582,-317,-1480,-2438,1408,-698,1312,19615,-13683,-22119,5289
5113,6427,4214,94,-2912,-2509,1408,-698,1312,19615,-13683,-22119,5289
-1479,2407,6845,4198,-5712,-724,1861,-289,803,-17285,-12475,19284,4939
-1525,1808,2679,8400,-7690,2767,1861,-289,803,-17285,-12475,19284,4939
1707,-3159,193,252,-12308,771,1990,-320,360,-18570,-11953,-3208,4851
8610,4354,-9994,824,-10338,-4247,1990,-320,360,-18570,-11953,-3208,4851
13625,8541,-8241,10526,2118,-2052,2045,-7,-99,-21489,-10757,-10843,3797
8450,-2383,191,-2203,3603,3392,2045,-7,-99,-21489,-10757,-10843,3797
5188,4038,-1191,-2203,3603,3392,2045,-7,-99,-21489,-10757,-10843,3797
5363,-758,1874,10054,1843,2630,1819,103,-933,-2848,-8214,18790,3145
4134,664,2209,752,159,-4004,1780,337,-953,-4944,-8021,-23970,1954
4477,2444,952,752,159,-4004,1780,337,-953,-4944,-8021,-23970,1954
4905,1551,-764,-1071,5351,-2003,1875,383,-728,-9805,-8873,-22434,1448
6463,955,-3828,-4739,6900,-3586,1875,383,-728,-9805,-8873,-22434,1448
7174,1154,-5318,-7655,8043,-4606,1911,711,-186,-220,-9977,-3242,1267
7240,833,-6641,-6554,9119,-3376,1911,711,-186,-220,-9977,-3242,1267
7462,1038,-6900,-5152,7735,-2849,1795,869,464,21757,-11090,-22083,937
7253,815,-7137,-4444,7368,-2276,1795,869,464,21757,-11090,-22083,937
6474,445,-6979,-5115,8456,-1826,1564,869,994,14288,-11924,4921,275
5184,814,-5985,-5366,8465,-1407,1564,869,994,14288,-11924,4921,275
4540,949,-3649,-5366,8465,-1407,1564,869,994,14288,-11924,4921,275
11229,39,-9612,-4352,5690,-23,969,573,1710,14288,-11924,4921,275
5487,-1354,-7953,-1012,4979,-2162,-1898,-748,-169,11326,-9575,18702,-1975
-2725,44,-892,6680,12239,-703,-1898,-748,-169,11326,-9575,18702,-1975
2733,128,-915,12207,10756,5243,-1742,-804,-714,-19058,-6621,20253,-4785
1825,1589,1404,12207,10756,5243,-1742,-804,-714,-19058,-6621,20253,-4785
2053,633,446,-1415,2819,-825,-610,-809,-1779,-9238,-1413,-24994,-4706
2274,1167,-71,-1204,3189,-904,-542,-791,-1809,-9238,-1413,-24994,-4706
2379,1158,365,-1130,3098,-1159,78,-651,-1940,5811,1021,28145,-4499
2720,650,214,-984,3090,-1191,78,-651,-1940,5811,1021,28145,-4499
2673,324,-4,-1970,3445,-1386,308,-550,-1948,28721,1784,3337,-4339
2645,455,193,-1090,3698,-1127,308,-550,-1948,28721,1784,3337,-4339
3299,5,339,-1090,3698,-1127,555,-442,-1920,28721,1784,3337,-4339
3210,236,388,-2041,3857,-800,1030,-186,-1759,30919,4338,26080,-3739
3554,56,417,-1195,4332,-746,1112,-150,-1712,30919,4338,26080,-3739
3400,459,-213,-796,7511,548,1595,-12,-1283,-7965,6882,-28505,-3440
3355,441,-310,-493,7438,950,1692,-21,-1152,-7965,6882,-28505,-3440
2961,753,73,95,7617,1394,2014,-61,-361,13253,10136,-9604,-3622
2706,905,-31,443,7454,1173,2036,-89,-198,13253,10136,-9604,-3622
2552,770,193,139,7204,375,2041,-114,121,22249,11535,24610,-3488
2714,753,410,-101,6593,103,2041,-114,121,22249,11535,24610,-3488
1889,-959,-2003,-1401,5417,-1770,1701,28,1140,11752,13507,30760,-2696
1496,-39,-1600,-424,6102,-817,1625,38,1245,11752,13507,30760,-2696
397,-850,-1541,402,4490,227,1504,57,1387,32579,13963,-10088,-2088
1540,-342,-3369,-252,5004,569,1504,57,1387,32579,13963,-10088,-2088
23183,-351,-9559,-3065,2337,-1609,1065,-125,1744,27759,14557,4203,-2288
2234,106,6444,8105,5245,9330,1253,-210,1606,16215,13740,22379,-3241
6634,483,14870,-3302,324,-1131,1303,-357,1538,-22805,14424,-29383,-3187
12637,-2132,11972,-3814,191,-3906,1301,-347,1542,24719,14283,-16684,-3394
20831,-7974,16359,-3516,-625,1276,1272,-477,1532,-14852,14238,24287,-4002
