9208,5981,17077,1530,1285,201,1611,-219,-1244,-2563,780,-3462,14322
8026,4209,11974,866,-69,943,1611,-219,-1244,-2563,780,-3462,14322
7015,2188,7430,492,-45,524,1630,-225,-1218,-2563,780,-3462,14322
-1152,2235,-1477,-712,-1648,-211,1630,-225,-1218,-2563,780,-3462,14322
9476,997,-6859,-8807,-3163,-780,1630,-225,-1218,-2563,780,-3462,14322
4805,-5436,-3500,-2208,-7835,-6108,1148,550,-1603,5241,3560,12455,14896
5499,-1158,-4265,-5861,-17870,-8031,1148,550,-1603,5241,3560,12455,14896
-21,1065,1738,4536,6068,77,470,838,-1808,-22559,3801,19915,15437
3906,511,1114,4536,6068,77,470,838,-1808,-22559,3801,19915,15437
5840,139,525,-789,-2228,-1795,470,838,-1808,-22559,3801,19915,15437
5071,-1561,-269,-789,-2228,-1795,470,838,-1808,-22559,3801,19915,15437
4346,-884,-1179,-789,-2228,-1795,470,838,-1808,-22559,3801,19915,15437
4023,-470,-914,-2259,4120,-3295,470,838,-1808,-22559,3801,19915,15437
3608,754,265,-2259,4120,-3295,470,838,-1808,-22559,3801,19915,15437
2769,433,1126,-2259,4120,-3295,470,838,-1808,-22559,3801,19915,15437
3493,752,2058,-2259,4120,-3295,470,838,-1808,-22559,3801,19915,15437
3531,758,2321,-4223,6815,-1716,1837,340,-838,-10284,-8212,-9529,3034
4062,901,2606,-4577,7177,-1742,1837,340,-838,-10284,-8212,-9529,3034
4838,993,2913,-5471,7670,-1635,1837,340,-838,-10284,-8212,-9529,3034
5140,1174,2960,-6388,8069,-674,1930,610,307,-22932,-10477,9479,2597
5358,1454,2734,-6388,8069,-674,1930,610,307,-22932,-10477,9479,2597
5227,1234,2923,-5587,7495,1658,1791,456,880,14548,-11449,-27215,2965
5228,1511,2726,-5527,7467,1905,1791,456,880,14548,-11449,-27215,2965
4288,1712,2755,-5443,7230,1962,1791,456,880,14548,-11449,-27215,2965
4861,1516,2138,-5037,6738,1957,1791,456,880,14548,-11449,-27215,2965
4405,1417,843,-5037,6738,1957,1791,456,880,14548,-11449,-27215,2965
4153,1532,774,-4430,5427,2071,498,-842,1799,6728,-13020,4010,3855
3253,1390,862,-3609,5306,2305,498,-842,1799,6728,-13020,4010,3855
2832,1279,636,-3609,5306,2305,498,-842,1799,6728,-13020,4010,3855
2636,1353,523,-915,4573,3121,-220,-1118,1701,-15793,-13222,17947,3398
2440,972,364,-456,4595,2987,-220,-1118,1701,-15793,-13222,17947,3398
2853,1414,-108,-31,4428,2505,-556,-1094,1638,-5561,-13304,19821,2637
2980,1317,-1074,53,4187,2298,-556,-1094,1638,-5561,-13304,19821,2637
3016,1722,-1603,323,3554,1774,-829,-1034,1561,-22478,-13275,4059,1807
2599,1308,-2429,22,2921,1310,-829,-1034,1561,-22478,-13275,4059,1807
16558,5598,-1135,22,2921,1310,-829,-1034,1561,-22478,-13275,4059,1807
10363,6781,13222,22,2921,1310,-829,-1034,1561,-22478,-13275,4059,1807
13040,8913,12986,911,31,-116,-1097,-983,1422,27279,-12049,17103,578
10180,7525,13950,1962,919,297,-1097,-983,1422,27279,-12049,17103,578
