2009	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	-6	-10	-13	-7	-9	-14	100	92	79	1024	1022	1020	5	4	3	13	5	-	0.00	 
2	-3	-6	-7	-6	-7	-9	100	88	74	1025	1022	1021	10	7	2	13	3	-	0.00	Snow
3	-5	-10	-15	-9	-12	-16	100	83	63	1026	1022	1018	10	10	10	11	5	-	0.00	 
4	-4	-6	-6	-5	-6	-9	93	90	80	1018	1013	1010	10	4	1	23	16	-	0.00	Snow
5	-3	-6	-7	-5	-7	-8	100	90	74	1018	1012	1009	10	7	2	21	13	-	0.00	Snow
6	-7	-10	-12	-8	-12	-14	93	89	79	1019	1018	1017	10	6	4	19	11	-	0.00	Snow
7	-7	-10	-12	-8	-11	-13	100	90	73	1021	1016	1014	10	7	3	16	8	-	0.00	Snow
8	-5	-10	-14	-9	-12	-15	100	84	59	1028	1027	1021	10	4	0	10	5	-	0.00	Fog , Snow
9	-6	-11	-15	-9	-13	-17	93	82	63	1028	1027	1026	10	9	9	10	3	-	0.00	 
10	-3	-8	-13	-8	-12	-15	100	78	47	1029	1028	1027	10	10	8	13	5	-	0.00	 
11	-4	-10	-15	-10	-13	-16	93	80	54	1031	1030	1028	-	-	-	11	5	-	0.00	 
12	-5	-10	-15	-12	-14	-16	92	79	50	1030	1026	1023	-	-	-	13	3	-	0.00	 
13	-4	-10	-15	-11	-13	-16	93	83	59	1022	1018	1014	-	-	-	13	6	-	0.00	 
14	-7	-10	-13	-8	-12	-14	93	84	63	1015	1013	1012	10	6	3	11	6	-	0.00	 
15	-1	-4	-7	-2	-4	-8	100	92	75	1022	1019	1015	4	2	0	11	5	-	0.00	Fog
16	-1	-3	-6	-3	-4	-6	100	91	75	1024	1023	1022	10	8	0	13	5	-	0.00	Fog
17	-1	-3	-4	-3	-4	-6	100	90	69	1022	1019	1015	10	5	1	10	3	-	0.00	Snow
18	2	0	-2	1	-1	-4	100	91	65	1015	1006	1000	10	7	1	23	8	45	0.00	Fog , Rain , Snow
19	2	0	-1	2	-1	-4	100	89	70	1006	1000	995	10	9	2	24	14	45	0.00	Rain , Snow
20	2	0	-2	2	0	-2	100	95	81	1002	998	994	10	9	0	11	3	-	0.00	Fog , Rain
21	0	-1	-2	-1	-2	-2	100	97	87	1007	1004	1002	10	5	0	13	5	-	0.00	Fog , Snow
22	1	-3	-6	-2	-4	-8	100	90	60	1008	1005	999	10	4	0	13	6	-	0.00	Fog
23	3	-1	-4	2	-3	-5	100	95	93	999	983	975	10	6	1	24	14	45	0.00	Rain , Snow
24	3	1	-1	0	-3	-6	93	82	56	994	987	980	10	10	3	26	13	48	0.00	Rain , Snow
25	1	-1	-2	-1	-2	-3	100	90	81	1000	999	995	10	10	7	19	5	-	0.00	Snow
26	-1	-3	-4	-2	-3	-4	100	90	80	1004	1001	999	8	5	2	19	10	-	0.00	 
27	1	-1	-3	-2	-2	-4	100	90	81	1014	1009	1004	8	6	5	14	8	-	0.00	 
28	-2	-3	-5	-4	-4	-7	93	87	80	1017	1015	1013	10	9	6	16	11	-	0.00	Snow
29	0	-2	-5	-4	-6	-7	93	83	60	1022	1020	1018	10	10	6	19	11	-	0.00	 
30	-4	-4	-5	-5	-6	-7	93	86	80	1023	1022	1021	10	9	5	23	10	-	0.00	Snow
31	-3	-4	-6	-5	-6	-8	93	87	74	1020	1017	1013	10	9	3	16	10	-	0.00	Snow
2009	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Feb	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	-3	-6	-7	-5	-7	-8	93	88	74	1012	1009	1007	10	8	3	27	14	-	0.00	Snow
2	0	-2	-3	-1	-2	-6	100	92	80	1008	1006	1002	10	8	5	32	24	40	0.00	 
3	1	0	-1	-1	-1	-1	100	91	87	1002	999	998	10	8	2	23	13	-	0.00	 
4	-1	-2	-3	-1	-2	-3	100	97	86	999	997	997	3	1	0	8	3	-	0.00	Fog
5	0	-2	-4	-3	-4	-5	100	91	75	1000	999	998	10	3	0	14	5	-	0.00	Fog
6	-2	-3	-4	-2	-3	-4	100	96	86	999	995	991	7	3	1	13	8	-	0.00	Fog
7	2	0	-2	0	-1	-3	100	96	75	990	987	985	9	3	0	14	6	-	0.00	Fog
8	0	-1	-3	0	-3	-6	100	82	64	1005	998	990	10	9	4	21	11	-	0.00	Snow
9	1	-3	-6	-4	-7	-9	93	73	48	1008	1006	1002	10	10	10	19	8	32	0.00	Snow
10	5	1	-2	1	-1	-4	100	88	75	1001	991	988	10	9	2	34	16	69	0.00	Rain , Snow
11	-1	-2	-3	-1	-4	-6	100	90	80	1008	1003	993	10	4	0	32	21	58	0.00	Fog , Snow
12	-3	-4	-6	-3	-8	-11	100	77	55	1013	1010	1007	10	9	4	24	13	-	0.00	Snow
13	-2	-6	-9	-4	-9	-13	100	73	43	1013	1013	1012	10	10	4	14	8	-	0.00	Snow
14	-3	-6	-7	-4	-9	-15	100	71	46	1022	1017	1012	10	10	8	21	11	-	0.00	Snow
15	-5	-7	-9	-7	-10	-12	93	77	63	1024	1023	1020	10	10	10	21	11	-	0.00	Snow
16	-1	-3	-5	-2	-4	-7	100	92	86	1019	1016	1013	10	6	1	19	14	-	0.00	Snow
17	-1	-6	-11	-1	-7	-13	100	81	54	1020	1013	1008	10	7	1	24	14	-	0.00	Snow
