2013	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
24	0	-3	-5	-1	-3	-7	100	92	86	1011	1008	1006	10	4	1	11	6	-	0.00	Snow
25	2	1	0	1	1	-1	100	95	93	1022	1016	1011	10	5	1	16	10	-	0.00	Fog , Rain , Snow
26	5	2	0	2	1	-2	100	90	81	1026	1024	1022	10	8	0	14	10	-	0.00	Fog
27	1	-1	-2	-1	-2	-3	100	90	81	1028	1027	1026	10	9	3	13	10	-	0.00	 
28	1	0	-1	-2	-2	-2	93	88	81	1027	1024	1021	10	10	5	14	8	-	0.00	 
2013	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Mar	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	2	-1	-4	-2	-3	-6	100	85	70	1021	1019	1018	10	8	2	16	13	-	0.00	 
2	6	-1	-8	-4	-7	-9	100	73	42	1022	1020	1018	10	10	10	10	5	-	0.00	 
3	1	-2	-4	-3	-4	-6	93	82	69	1021	1019	1017	10	9	5	19	11	-	0.00	 
4	3	-3	-8	-4	-6	-9	93	74	56	1022	1021	1019	10	10	10	21	10	-	0.00	 
5	4	-1	-5	-2	-4	-7	93	75	61	1019	1014	1010	-	-	-	21	10	-	0.00	 
6	9	2	-4	-1	-2	-5	100	73	43	1009	1006	1003	10	10	10	14	5	-	0.00	Fog
7	8	4	0	4	2	-1	100	84	70	1003	1001	1001	10	6	4	13	5	-	0.00	Rain
8	8	6	3	5	4	2	100	92	76	1003	1002	1001	9	3	0	14	6	-	0.00	Fog , Rain
9	6	4	3	5	4	3	100	98	93	1002	1001	1000	4	1	0	8	5	-	0.00	Fog , Rain
10	9	4	1	5	2	1	100	83	58	1000	997	996	10	7	0	21	5	-	0.00	Fog , Rain
11	2	-2	-5	1	-6	-7	93	82	69	1001	1000	996	10	10	10	19	11	-	0.00	Rain
12	-5	-6	-6	-6	-7	-8	93	88	86	1001	998	996	10	6	1	16	10	-	0.00	Snow
13	-4	-7	-9	-8	-8	-10	93	81	69	1003	999	996	10	9	2	11	6	-	0.00	Snow
14	-2	-7	-12	-8	-11	-14	93	74	59	1007	1005	1003	10	10	7	16	8	-	0.00	Snow
15	-3	-8	-12	-7	-11	-14	93	73	54	1015	1011	1007	10	8	1	16	6	-	0.00	Snow
16	1	-7	-14	-9	-12	-17	86	62	38	1016	1015	1012	10	10	10	14	6	-	0.00	 
17	2	-3	-7	-7	-9	-12	80	61	52	1012	1006	1001	-	-	-	32	18	40	0.00	 
18	-1	-3	-4	-2	-4	-7	93	85	69	1001	994	989	10	4	1	16	10	-	0.00	Snow
19	2	-1	-3	-1	-2	-4	93	87	81	1000	994	988	10	8	1	24	16	-	0.00	Snow
20	7	3	1	1	-1	-2	93	77	57	1006	1003	1000	10	10	10	13	10	-	0.00	Rain
21	2	-1	-4	0	-4	-7	93	80	69	1016	1012	1006	10	10	4	24	14	-	0.00	Rain , Snow
22	-2	-4	-7	-7	-8	-9	86	72	59	1016	1016	1015	10	10	10	21	8	-	0.00	Snow
23	-3	-6	-9	-8	-10	-16	86	72	53	1017	1016	1015	10	8	4	32	19	42	0.00	Snow
24	-2	-7	-11	-12	-15	-17	73	52	37	1017	1015	1013	10	10	10	35	23	53	0.00	 
25	-2	-6	-8	-10	-12	-14	79	61	43	1013	1011	1010	10	9	5	35	24	53	0.00	Snow
26	-2	-4	-7	-11	-13	-15	74	53	37	1010	1008	1008	10	10	10	24	16	-	0.00	Snow
27	-3	-6	-7	-7	-9	-13	86	73	58	1009	1008	1008	10	8	3	21	13	-	0.00	Snow
28	1	-3	-6	-3	-6	-7	93	77	56	1009	1007	1004	10	7	1	21	11	-	0.00	Snow
29	1	-1	-3	-2	-4	-6	100	77	60	1004	1003	1002	7	4	1	23	10	-	0.00	Snow
30	3	0	-3	-4	-5	-8	93	72	52	1005	1003	1002	10	6	3	14	5	34	0.00	Snow
31	-1	-2	-4	-5	-7	-8	93	73	60	1007	1005	1004	10	9	6	14	10	-	0.00	Snow
2013	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Apr	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	0	-4	-8	-5	-7	-9	93	72	55	1009	1007	1006	10	10	6	14	8	-	0.00	Snow
2	0	-2	-5	-5	-6	-8	86	75	64	1011	1009	1008	10	10	9	24	14	-	0.00	 
3	-1	-2	-3	-5	-6	-7	86	76	64	1012	1012	1011	10	9	3	21	14	-	0.00	Snow
4	0	-2	-3	-4	-5	-6	86	79	69	1012	1009	1008	10	9	6	16	11	-	0.00	 
5	0	-1	-2	-2	-3	-4	93	88	80	1009	1006	1005	10	5	1	16	13	-	0.00	Snow
6	2	0	-1	-2	-3	-4	86	79	65	1018	1013	1009	10	9	6	13	5	-	0.00	 
7	4	1	-4	-3	-7	-12	86	61	31	1019	1017	1015	10	10	10	14	6	-	0.00	Snow
8	7	0	-6	-5	-6	-8	93	57	37	1015	1008	1004	10	10	10	26	11	-	0.00	 
9	8	4	0	2	-1	-6	100	73	57	1004	1003	1002	10	8	3	16	8	-	0.00	Rain , Snow
10	8	4	1	4	3	0	100	85	71	1009	1006	1002	10	9	4	19	8	-	0.00	Rain
11	10	6	1	8	5	1	100	89	81	1009	1005	1002	10	10	3	13	6	-	0.00	Rain
12	11	8	5	9	6	2	100	81	62	1008	1004	999	10	10	10	27	13	52	0.00	Rain
13	11	7	3	3	2	-1	87	67	44	1023	1016	1008	10	10	10	24	13	42	0.00	Rain
14	15	8	1	6	3	-1	93	68	48	1027	1026	1024	10	10	10	13	3	-	0.00	 
15	19	12	5	5	4	2	87	55	40	1026	1022	1020	-	-	-	21	10	-	0.00	 
16	19	12	5	11	6	1	100	62	42	1021	1020	1019	10	10	10	19	6	-	0.00	Rain
17	19	13	7	10	7	5	100	68	40	1024	1023	1021	10	5	0	14	5	-	0.00	Fog
18	23	16	9	11	9	7	87	59	41	1021	1017	1015	10	10	10	21	10	-	0.00	Rain , Thunderstorm
19	16	11	6	6	1	-3	93	52	35	1024	1021	1018	10	10	10	19	11	-	0.00	Rain
20	8	7	5	4	3	2	93	78	66	1026	1025	1024	10	10	10	24	11	-	0.00	Rain
21	15	9	4	7	5	1	87	71	55	1023	1018	1014	10	10	10	21	14	-	0.00	 
22	16	10	4	11	8	4	100	84	59	1017	1015	1013	10	6	0	11	6	-	0.00	Fog , Rain , Thunderstorm
23	16	9	3	7	4	0	100	68	38	1023	1020	1017	10	5	0	23	6	-	0.00	Fog
24	20	11	3	6	4	1	87	55	35	1027	1025	1024	10	9	8	19	6	-	0.00	 
25	21	13	6	8	6	5	93	57	35	1026	1024	1021	10	10	10	14	6	-	0.00	Fog
26	23	16	8	9	7	3	87	51	27	1020	1011	1004	10	10	10	23	8	35	0.00	Rain
27	14	10	6	10	7	4	94	85	72	1005	1004	1002	10	10	10	21	11	-	0.00	Rain
28	9	6	3	4	3	1	93	77	62	1015	1013	1006	10	10	5	16	10	-	0.00	Rain
29	10	8	6	7	6	4	100	85	71	1020	1016	1014	10	8	1	14	8	-	0.00	Rain
30	13	8	4	7	6	4	100	81	62	1021	1019	1018	10	9	5	16	8	-	0.00	Rain
2013	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
May	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
