2011	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	-1	-3	-4	-2	-3	-5	100	96	86	1019	1014	1013	10	5	2	19	13	-	0.00	Snow
2	-2	-3	-4	-3	-4	-5	100	90	80	1017	1015	1013	10	9	3	23	14	-	0.00	Snow
3	-3	-7	-10	-4	-5	-10	100	94	86	1019	1018	1017	10	9	1	14	11	-	0.00	Snow
4	-6	-9	-11	-7	-8	-12	100	96	92	1019	1017	1015	10	7	1	8	3	-	0.00	Snow
5	-7	-9	-10	-9	-9	-11	100	90	80	1015	1013	1010	10	8	5	11	5	-	0.00	Snow
6	2	-4	-11	2	-4	-12	100	94	86	1010	1005	1003	10	7	2	16	8	-	0.00	Rain , Snow
7	5	2	0	5	3	0	100	100	100	1012	1010	1005	10	4	0	10	5	-	0.00	Fog , Rain
8	5	3	1	5	3	1	100	100	100	1012	1011	1010	10	3	0	8	3	-	0.00	Fog , Rain
9	8	4	2	4	3	2	100	86	66	1015	1011	1010	10	6	0	10	5	-	0.00	Fog , Rain
10	2	0	-2	1	-2	-3	100	91	75	1021	1019	1015	10	10	10	13	5	-	0.00	Rain
11	1	0	-1	0	-1	-1	100	98	93	1017	1011	1008	10	6	1	11	6	-	0.00	Fog
12	2	1	0	2	1	-1	100	94	81	1016	1014	1010	10	9	2	21	11	-	0.00	Rain , Snow
13	7	4	2	7	5	2	100	100	93	1011	1010	1009	10	4	0	24	14	40	0.00	Fog , Rain
14	8	7	6	8	7	4	100	95	87	1014	1013	1011	10	8	1	32	23	58	0.00	Rain
15	6	4	4	5	4	3	100	90	81	1025	1021	1013	10	10	10	23	16	42	0.00	Rain
16	7	2	-2	4	2	-2	100	92	76	1026	1025	1024	10	9	0	21	10	-	0.00	Fog
17	1	0	-1	1	0	-1	100	100	100	1025	1024	1023	0	0	0	8	3	-	0.00	Fog
18	6	2	-1	5	3	-1	100	98	87	1023	1022	1021	10	5	0	14	8	-	0.00	Fog , Rain
19	3	1	-1	3	-1	-4	100	91	80	1023	1022	1020	10	9	3	19	11	-	0.00	Snow
20	1	-2	-4	-2	-3	-4	100	91	70	1026	1022	1021	10	8	1	11	6	-	0.00	Snow
21	-3	-4	-5	-4	-6	-8	100	87	69	1029	1028	1026	10	10	10	11	6	-	0.00	Snow
22	-3	-7	-11	-6	-8	-12	100	88	69	1028	1026	1024	10	10	6	6	2	-	0.00	Snow
23	-1	-6	-11	-3	-5	-11	100	94	86	1024	1020	1019	10	9	4	21	6	-	0.00	Snow
24	0	-1	-2	-1	-2	-2	100	98	93	1019	1017	1015	10	7	2	13	6	-	0.00	Rain , Snow
25	0	-1	-2	-1	-2	-2	100	95	87	1015	1007	1002	10	6	1	21	14	35	0.00	Snow
26	-1	-3	-5	-1	-3	-5	100	93	86	1010	1005	1002	10	9	0	16	11	-	0.00	Fog , Snow
27	-3	-6	-8	-4	-6	-9	100	94	86	1019	1015	1010	10	9	0	14	6	-	0.00	Fog , Snow
28	-3	-4	-7	-4	-6	-9	100	89	80	1022	1021	1019	10	8	5	24	16	-	0.00	Snow
29	-6	-9	-11	-7	-9	-11	100	95	93	1021	1018	1016	8	4	1	21	10	-	0.00	Fog
30	-7	-8	-9	-7	-8	-9	100	95	93	1019	1017	1016	7	5	2	13	8	-	0.00	 
31	-1	-6	-11	-7	-9	-11	100	87	64	1022	1021	1019	7	4	3	11	8	-	0.00	 
2011	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Feb	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	-8	-11	-13	-8	-11	-14	100	93	92	1023	1022	1022	10	2	0	11	3	-	0.00	Fog , Snow
2	-4	-7	-9	-5	-7	-10	100	96	93	1027	1026	1023	4	2	1	16	11	-	0.00	Snow
3	-2	-3	-5	-2	-4	-6	100	98	93	1026	1024	1023	9	5	2	24	14	-	0.00	Rain , Snow
4	4	1	-2	2	0	-4	100	92	86	1026	1022	1018	10	10	5	34	18	66	0.00	Snow
5	6	4	4	2	2	2	87	79	76	1021	1020	1018	10	10	10	45	27	71	0.00	 
6	8	6	4	3	2	1	81	79	66	1023	1022	1021	10	10	10	35	27	61	0.00	 
7	8	4	0	1	-1	-4	100	76	49	1022	1020	1016	10	9	7	24	13	-	0.00	 
8	7	2	-3	2	-2	-5	93	71	49	1023	1019	1016	10	10	10	27	11	40	0.00	Rain
9	5	0	-5	-2	-4	-6	100	76	49	1023	1022	1022	-	-	-	11	3	-	0.00	 
10	3	-2	-6	-1	-3	-7	100	86	70	1022	1019	1014	8	4	1	11	3	-	0.00	Rain
11	7	3	0	6	5	-1	100	98	93	1014	1010	1008	10	6	1	26	16	48	0.00	Fog , Rain
12	1	-1	-3	0	-5	-7	93	80	69	1018	1016	1010	10	10	10	21	14	40	0.00	Rain , Snow
13	-2	-3	-3	-3	-3	-5	100	93	80	1016	1012	1011	10	6	1	11	8	-	0.00	Snow
14	-1	-2	-3	-2	-2	-3	100	99	93	1011	1010	1009	5	2	0	16	5	-	0.00	Fog
15	-2	-3	-4	-2	-3	-6	100	95	80	1008	1004	1001	10	6	1	21	14	-	0.00	Fog
16	-2	-4	-6	-4	-6	-7	100	88	80	1003	1002	1001	10	8	3	16	10	-	0.00	 
17	0	-2	-3	-1	-2	-4	100	99	93	1006	1002	1000	6	2	1	19	11	-	0.00	Fog , Snow
18	0	-1	-1	0	-1	-1	100	100	93	1013	1010	1007	5	2	0	10	5	-	0.00	Fog , Snow
19	-1	-3	-4	-1	-3	-5	100	94	86	1016	1015	1013	7	5	1	11	5	-	0.00	Fog , Snow
20	-4	-7	-10	-5	-9	-12	93	88	79	1016	1016	1015	10	6	1	16	11	-	0.00	Snow
21	-7	-9	-11	-11	-12	-14	92	80	68	1017	1016	1014	10	9	5	13	8	-	0.00	Snow
22	-5	-10	-14	-9	-13	-15	92	80	59	1019	1015	1013	10	8	4	13	6	-	0.00	Snow
23	-3	-10	-17	-11	-14	-19	92	72	50	1024	1023	1020	-	-	-	11	3	-	0.00	 
24	0	-7	-13	-8	-11	-15	92	67	44	1027	1025	1024	-	-	-	11	5	-	0.00	 
25	1	-6	-11	-8	-11	-13	86	63	35	1029	1028	1027	-	-	-	13	5	-	0.00	 
26	2	-4	-10	-6	-9	-12	86	69	52	1027	1020	1012	-	-	-	16	8	-	0.00	 
27	0	-4	-8	-1	-4	-9	100	89	80	1017	1012	1010	8	5	3	8	3	-	0.00	Snow
28	7	3	-1	1	-1	-2	100	80	61	1025	1022	1017	10	6	1	23	5	-	0.00	Snow
2011	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Mar	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	3	0	-3	-2	-4	-7	100	75	60	1032	1029	1026	8	6	2	19	10	-	0.00	 
2	5	0	-4	-7	-13	-17	74	38	19	1032	1030	1028	-	-	-	27	16	48	0.00	 
3	0	-3	-6	-4	-6	-10	86	75	64	1029	1028	1027	10	10	10	26	16	-	0.00	 
4	3	-1	-4	-2	-3	-5	93	86	70	1030	1028	1026	10	7	3	16	10	-	0.00	 
5	8	0	-7	-2	-4	-9	100	72	31	1025	1021	1019	10	6	5	19	5	-	0.00	 
6	2	-1	-5	-3	-8	-12	86	60	35	1029	1024	1020	10	10	10	19	11	-	0.00	 
7	2	-4	-9	-8	-12	-16	80	52	30	1034	1033	1030	-	-	-	21	10	-	0.00	 
