1998	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	2	-1	-3	1	-2	-4	100	96	87	1018	1016	1012	5	1	0	11	5	-	0.00	Fog
2	4	1	-1	1	0	-2	100	93	81	1012	1005	1000	10	7	1	18	11	-	0.00	Fog , Rain
3	10	4	0	6	2	0	100	76	61	1008	1004	997	10	9	2	40	21	61	0.00	Rain
4	8	6	3	5	1	-2	81	71	61	1009	1006	999	10	10	10	43	31	61	0.00	Rain
5	7	4	3	1	-1	-3	70	66	53	1007	1004	1001	10	10	10	58	40	76	0.00	 
6	6	3	2	2	0	-1	87	78	65	1016	1006	997	10	10	10	58	43	87	0.00	Rain
7	10	6	1	6	3	-1	93	84	76	1017	1015	1014	10	10	10	40	24	-	0.00	Rain
8	9	7	5	4	3	2	93	74	66	1023	1021	1018	10	10	10	50	29	68	0.00	 
9	10	8	7	5	4	2	81	74	66	1029	1026	1023	10	10	10	35	31	47	0.00	 
10	12	7	3	6	4	1	93	82	62	1031	1030	1029	10	10	10	21	16	-	0.00	 
11	4	0	-4	2	-1	-4	100	98	87	1029	1026	1024	8	1	0	14	8	-	0.00	Fog
12	-1	-3	-4	-2	-3	-5	100	98	93	1024	1023	1021	0	0	0	6	3	-	0.00	Fog
13	-1	-2	-2	-1	-2	-3	100	98	93	1020	1016	1013	8	2	0	6	5	-	0.00	Fog
14	0	-1	-2	-1	-2	-3	100	98	93	1019	1015	1013	5	3	0	6	5	-	0.00	Fog
15	6	2	-2	2	0	-2	100	91	76	1023	1021	1019	10	6	0	21	10	-	0.00	Fog
16	7	4	3	4	2	-1	93	83	75	1018	1013	1010	10	10	10	18	14	-	0.00	Rain
17	5	2	0	4	1	-3	100	85	70	1023	1017	1010	10	10	10	29	19	47	0.00	Rain
18	5	1	-2	-1	-3	-4	93	77	60	1022	1014	1004	10	10	10	29	18	-	0.00	 
19	5	3	1	2	1	-4	93	83	60	1004	995	991	10	10	10	35	21	58	0.00	Rain
