1997	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
24	13	8	3	5	2	0	81	69	51	1014	1010	1007	10	10	10	26	14	-	0.00	 
25	15	11	7	8	6	2	93	74	55	1007	1004	1000	10	10	10	68	29	97	0.00	Rain
26	11	7	3	7	4	1	93	81	54	1010	1005	1003	10	10	4	47	35	72	0.00	Rain , Thunderstorm
27	6	3	2	3	1	-1	93	82	65	1033	1019	1010	10	10	10	29	21	-	0.00	Rain
28	10	6	1	3	2	-1	93	75	58	1035	1031	1027	10	10	10	29	21	-	0.00	 
1997	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Mar	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	13	7	1	5	2	-2	87	72	54	1028	1027	1025	10	10	10	26	13	-	0.00	Rain
2	17	9	2	7	4	0	93	70	45	1027	1024	1021	-	-	-	35	18	-	0.00	 
3	11	6	2	5	3	0	93	83	67	1034	1030	1023	10	10	8	29	18	-	0.00	Rain
4	10	6	1	3	1	-1	93	76	50	1034	1032	1031	10	10	10	21	13	-	0.00	 
5	10	5	0	5	2	-1	100	86	66	1030	1028	1025	10	8	5	11	10	-	0.00	 
6	8	7	5	7	6	5	100	95	87	1033	1029	1025	7	4	1	14	6	-	0.00	Rain
7	10	6	1	6	-1	-5	100	68	37	1035	1034	1033	9	6	3	18	10	-	0.00	 
8	12	4	-2	-1	-4	-7	86	57	28	1036	1035	1034	9	6	5	11	3	-	0.00	 
9	12	6	1	3	1	-2	87	68	47	1037	1036	1035	9	8	6	14	5	-	0.00	 
10	13	7	0	4	2	-1	100	77	51	1037	1036	1034	9	6	1	14	3	-	0.00	Fog
11	16	8	0	4	2	-1	100	72	36	1034	1033	1032	9	6	2	11	8	-	0.00	 
12	14	7	0	2	-1	-2	93	64	36	1034	1031	1025	8	5	2	14	5	-	0.00	Fog
13	10	7	3	5	3	-1	87	76	66	1024	1023	1021	10	8	4	32	19	50	0.00	 
14	14	9	4	5	4	3	93	75	51	1023	1019	1016	10	8	4	29	18	-	0.00	 
15	11	8	6	6	4	4	93	82	62	1019	1018	1015	10	10	7	35	21	50	0.00	Rain
16	8	3	-1	7	2	-1	100	91	76	1022	1019	1016	10	8	1	29	19	-	0.00	Rain , Snow
17	1	-1	-2	0	-1	-3	100	95	87	1025	1020	1015	10	6	2	18	8	-	0.00	Rain , Snow
18	3	-1	-5	-1	-3	-5	100	82	65	1025	1018	1005	10	9	6	26	10	-	0.00	 
19	7	3	-1	4	2	-3	100	91	76	1004	1000	998	10	8	0	32	16	50	0.00	Fog , Rain , Snow
20	4	0	-4	3	-3	-6	100	86	69	1017	1011	1003	10	9	3	26	16	-	0.00	Rain , Snow
21	3	-1	-5	1	-2	-6	100	91	81	1019	1016	1014	10	7	1	18	10	32	0.00	Rain , Snow
22	4	1	-2	-1	-3	-5	100	82	56	1024	1022	1020	10	9	1	32	14	50	0.00	Snow
23	5	0	-4	-1	-4	-7	100	77	45	1023	1018	1012	10	10	2	21	10	-	0.00	Rain , Snow
24	2	0	-2	0	-1	-3	100	89	75	1012	1011	1010	10	7	5	11	8	-	0.00	Snow
25	3	1	0	1	-1	-2	100	89	75	1020	1015	1012	8	4	1	11	5	-	0.00	Fog , Snow
26	9	3	-2	2	0	-3	100	77	54	1022	1020	1016	10	6	1	26	8	-	0.00	Fog
27	14	10	6	7	4	2	87	70	51	1016	1013	1010	10	10	8	40	29	61	0.00	Rain
28	11	7	3	7	1	-4	87	64	40	1009	1004	995	10	10	6	68	39	90	0.00	Rain
29	6	3	1	1	-1	-3	100	79	61	1014	1010	1007	10	9	3	35	27	55	0.00	Rain , Snow
30	6	3	0	1	-1	-3	100	78	53	1024	1020	1015	10	10	2	26	13	-	0.00	Snow
31	13	7	2	4	2	0	100	74	44	1024	1023	1022	10	10	10	21	13	-	0.00	Rain
1997	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Apr	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
