8652,-1221,19415,613,909,443,-968,-431,1752,-31897,-6734,-30938,-2937
6807,-913,14677,842,-804,-72,-620,-259,1934,-29723,-6834,-12078,-1840
6166,-1225,11344,1975,-4588,1017,-512,-200,1972,19208,-6940,17484,-1468
-3972,-7436,7165,1975,-4588,1017,293,-150,2021,16897,-6763,16546,1344
4001,-4143,1593,3864,-11015,-207,960,-79,1807,-12899,-6378,16789,3649
7649,1346,385,8015,-917,-1916,1496,151,1390,-28860,-5821,-17657,5819
3664,-1746,667,5590,12023,1333,1011,428,1728,9536,-7939,17848,2629
4946,410,885,6795,910,7491,-340,808,1850,10828,-8018,-31145,-2938
1981,-358,892,11516,3462,890,-1079,1599,-685,-19457,-4956,-29367,-12147
1948,-1238,574,11516,3462,890,-1012,1359,-1150,17384,-3391,-17305,-12868
2429,-903,533,9429,-3570,1162,-1075,1033,-1403,12923,-1402,-164,-12801
2299,91,1047,10088,-3791,1036,-1222,604,-1528,-31463,995,19943,-12467
2391,35,665,9528,-3669,1031,-1275,460,-1534,-31463,995,19943,-12467
2157,803,813,8438,-3553,886,-1544,-132,-1338,-26814,5227,5536,-10731
2330,72,665,8267,-4147,1982,-1729,-317,-1049,18791,7053,19063,-9142
2738,-262,201,5598,-5238,2183,-1895,-353,-690,-22579,8578,194,-7936
2618,191,590,6289,-4942,2061,-1997,-322,-316,23675,10000,23956,-6051
3033,-309,388,5851,-4902,2595,-2040,-165,46,-5233,11141,18054,-4538
3037,-356,285,4664,-4681,3370,-2040,-89,155,31615,11446,-10389,-3881
2713,162,585,4664,-4681,3370,-1925,404,568,-19310,12522,-15954,-831
2348,140,855,4442,-3852,4333,-1758,766,716,-3276,12822,-24324,928
2478,-108,696,4404,-3702,5197,-1246,1470,692,28597,12545,-8154,4576
2380,-592,598,4161,-931,4394,-1165,1557,639,-22882,12372,-18566,5047
4090,856,3140,302,3417,5029,430,1987,-242,19765,1312,-8255,8671
4163,949,3247,-1111,5759,5319,1596,1109,643,-30017,829,24739,8288
4244,1096,3472,-1111,5759,5319,1596,1109,643,-30017,829,24739,8288
3664,445,3538,-1111,5759,5319,1596,1109,643,1304,-1382,16952,6466
3634,337,3251,-2216,6067,4729,1471,474,1343,1376,-1787,6043,6167
3485,139,3473,-2216,6067,4729,1329,269,1534,19417,-2506,25557,5475
3078,-323,3442,-2045,6058,4150,1036,0,1766,-4736,-3465,9067,4131
3135,-172,3605,-2410,5352,3653,932,-84,1821,13775,-4263,-4220,3055
3284,-156,3550,-2088,5796,3284,568,-288,1946,-7211,-4498,-17180,2492
3503,-72,2803,-2088,5796,3284,305,-410,1983,10564,-4905,-22794,1702
3948,-26,1731,-2328,5797,3093,170,-466,1986,-26284,-5096,16901,1090
2469,-75,13671,-1935,5272,3815,170,-466,1986,31595,-6835,28881,-2704
