9006,8445,18767,2647,3728,372,401,-280,1988,7003,-7733,-4685,2029
6101,5316,15727,3040,1059,-520,293,-120,2023,30732,-7772,-6503,1254
7345,6178,16669,794,805,1569,293,-120,2023,30732,-7772,-6503,1254
1402,1381,12544,550,-766,194,316,-64,2022,8305,-7911,26595,1127
3877,954,10407,550,-766,194,316,-64,2022,8305,-7911,26595,1127
8343,-11341,-345,550,-766,194,316,-64,2022,8305,-7911,26595,1127
10724,-9676,-10788,-19782,-21475,-2871,1993,-434,179,7661,-2356,-17446,11195
1688,-7926,-627,-26200,10965,-4769,1993,-434,179,7661,-2356,-17446,11195
-623,1785,12121,5424,-2527,4173,1948,-221,591,20196,257,-5395,9706
-2595,-2274,-142,4559,-18099,14830,1948,-221,591,20196,257,-5395,9706
639,-1235,-312,-6960,3038,5100,1811,-941,162,-4367,-1729,13836,10550
2845,-1781,802,-4196,1751,-341,1811,-941,162,-4367,-1729,13836,10550
2252,-836,805,-1372,-4242,3288,1775,-1020,-23,-28031,-1430,-11824,10705
4872,-2020,-685,-2215,-309,3673,1775,-1020,-23,-28031,-1430,-11824,10705
5610,-2503,-688,-7912,-3026,591,1685,-1132,-268,32120,-1218,-31195,10886
5428,-3526,-595,-9220,-1901,70,1685,-1132,-268,32120,-1218,-31195,10886
5196,-3519,2736,-9924,-4726,760,1685,-1132,-268,32120,-1218,-31195,10886
5249,-2510,3595,-6996,-9329,1491,1333,-794,-1335,-9344,541,-3668,12273
6987,-1409,2415,-7067,-10983,1655,1333,-794,-1335,-9344,541,-3668,12273
5827,-1357,2375,-7067,-10983,1655,1333,-794,-1335,-9344,541,-3668,12273
5421,-1293,1834,-9802,-7014,1520,-438,755,-1852,10160,1083,3140,11788
5043,-1870,1050,-10387,-6441,625,-438,755,-1852,10160,1083,3140,11788
4510,-497,1191,-10875,-5217,-1201,-748,1307,-1387,17576,2034,3026,11019
4807,-712,896,-10321,-4638,-2197,-748,1307,-1387,17576,2034,3026,11019
4673,-3783,-1223,-12955,-3920,-4509,-1026,1610,-739,12880,2985,-32005,10626
2542,-3939,-1935,-13753,-1870,-6746,-1026,1610,-739,12880,2985,-32005,10626
6194,929,-3371,-13753,-1870,-6746,-1026,1610,-739,12880,2985,-32005,10626
6328,533,-3304,-6456,10926,3079,-1858,-658,-554,12120,5308,-3375,8178
6549,883,-2521,-6523,11656,2897,-1858,-658,-554,12120,5308,-3375,8178
5447,1490,436,-6177,12503,2729,-1529,-308,-1326,12120,5308,-3375,8178
6891,1360,1490,-5324,13138,1811,-1529,-308,-1326,12120,5308,-3375,8178
6811,1128,1988,-6483,12083,1671,-43,487,-1988,-20543,1392,2506,10249
7230,570,2339,-6051,12473,2175,-43,487,-1988,-20543,1392,2506,10249
7392,394,2229,-6453,12133,2700,770,833,-1704,30532,-177,1203,9988
7437,328,2353,-6155,12086,3090,770,833,-1704,30532,-177,1203,9988
7466,271,2400,-5592,11700,3934,1433,973,-1091,-5089,-1810,11755,9517
7223,517,2836,-5517,11036,4335,1433,973,-1091,-5089,-1810,11755,9517
7344,772,2837,-4884,9509,5448,1831,837,-370,-1386,-3369,11259,9003
7324,882,2474,-4771,8599,5725,1831,837,-370,-1386,-3369,11259,9003
7159,898,2089,-4094,7919,5895,1974,482,248,-7743,-4766,-30646,8840
6156,1142,1322,-4001,7663,5584,1974,482,248,-7743,-4766,-30646,8840
5438,1248,1104,-3794,7399,4472,1899,95,759,-24424,-5874,-23991,8098
4418,1021,944,-3969,7162,3776,1899,95,759,-24424,-5874,-23991,8098
4173,714,924,-4714,6046,2636,1689,-224,1135,15043,-6392,12131,7215
3419,847,1314,-4851,5702,2294,1689,-224,1135,15043,-6392,12131,7215
3206,608,1029,-4795,5424,2155,1689,-224,1135,23497,-6449,4222,6160
3049,762,-132,-3300,4633,2758,1172,-816,1467,23497,-6449,4222,6160
2662,1191,37,-1253,3057,2770,918,-1007,1528,2563,-6830,23866,5469
1947,1338,-222,-552,3109,2429,918,-1007,1528,2563,-6830,23866,5469
1767,2664,-525,-552,3109,2429,918,-1007,1528,2563,-6830,23866,5469
1959,2685,-961,-1701,1593,48,600,-1173,1566,-29968,-7100,-16288,4544
1211,2490,-1443,-1701,1593,48,600,-1173,1566,-29968,-7100,-16288,4544
12234,-83,-144,-1652,723,-712,561,-1241,1529,-3017,-6818,-27426,4500
-21637,-6919,15814,-2671,2961,-531,561,-1241,1529,-3017,-6818,-27426,4500
8388,1297,5019,799,1669,282,444,-1058,1695,16346,-6028,810,3331
7921,3333,6506,3069,5410,24,444,-1058,1695,16346,-6028,810,3331
10170,4980,12973,1214,1227,-619,378,-985,1755,10029,-5960,24600,2912
9427,975,15340,1508,1407,335,378,-985,1755,10029,-5960,24600,2912
10021,-1415,14314,1070,677,-742,346,-899,1806,-17888,-5901,7570,2589
10762,-216,16288,1206,1893,0,346,-899,1806,-17888,-5901,7570,2589
8350,-2194,15713,1244,917,-270,273,-804,1863,-19333,-5843,4732,2066
5522,396,18608,1465,2582,826,273,-804,1863,-19333,-5843,4732,2066
