19178,-4077,8354,-197,-410,-421,1495,-1385,200,-30185,-9435,30265,10870
15155,-5364,8746,-197,-410,-421,1495,-1385,200,9602,-9170,-21880,10922
10918,-3852,8190,-588,-794,-103,1547,-1333,149,-25265,-9120,-10805,11221
10854,593,6835,-588,-794,-103,1547,-1333,149,-2935,-9299,26059,10853
6617,2126,9674,6224,-1379,-1388,1579,-1283,222,-23837,-9553,16301,10559
3910,2088,3992,6224,-1379,-1388,1579,-1283,222,-19790,-10206,-15833,10178
-1361,-422,3071,960,-3507,-202,1577,-1269,309,6191,-10283,-32751,10112
-2688,2751,3896,44,-1599,1606,1611,-1236,265,-24088,-10282,-23907,10146
3020,-1578,3393,1852,-2989,-989,1611,-1236,265,-27465,-10235,-15210,10180
4738,-1668,-3631,389,-12590,-3710,1729,-1096,5,-5510,-9907,-27891,10387
6240,12339,-6207,389,-12590,-3710,1729,-1096,5,-5510,-9907,-27891,10387
6876,12881,7547,18928,463,-101,1677,-1149,-242,-5808,-10271,13774,9781
-3788,1609,-1875,17855,31599,-1020,1677,-1149,-242,-5808,-10271,13774,9781
4874,-893,-3423,-12264,-12176,-1864,1573,-1164,601,21324,-11863,-20487,8623
3447,1320,817,-3504,-24939,-1125,1573,-1164,601,21324,-11863,-20487,8623
-947,313,7391,4372,18833,-6264,1780,-956,329,-20255,-11219,31686,8571
4365,832,783,4828,18426,-3179,1780,-956,329,-20255,-11219,31686,8571
4735,455,-1806,-757,-3275,-2524,1748,-749,758,-9719,-11830,-16018,7361
2119,102,187,-1761,1849,-3261,1748,-749,758,-9719,-11830,-16018,7361
1818,661,1463,4270,8929,-2341,1662,-557,1058,23679,-11968,-4086,6384
4977,247,-512,6748,4974,-2861,1582,-273,1270,24579,-12277,-27248,5013
4559,-160,-314,1097,3569,-4571,1501,164,1383,22693,-11683,-32463,3457
4070,-254,-711,1780,4855,-4399,1501,164,1383,22693,-11683,-32463,3457
3575,296,-329,4555,4632,-4211,1241,487,1554,17195,-11520,11326,1836
3932,1419,-125,5951,4619,-4288,1241,487,1554,-18754,-11358,-4514,494
3922,928,-573,7307,2277,-5100,954,975,1527,782,-11159,-6550,-26
3640,758,-280,4521,2460,-5741,653,1381,1363,-14910,-10300,-31224,-2170
