11604,3435,20498,1464,325,-771,717,135,1913,-29423,-15176,25363,-1437
7440,4177,19626,853,45,-779,725,234,1900,8180,-15189,-22919,-1882
7615,-709,17783,2235,69,-1158,725,234,1900,8180,-15189,-22919,-1882
8295,3333,15529,923,-710,-458,745,320,1880,9595,-15205,-8014,-2080
7812,3347,13014,451,-1753,-333,745,320,1880,9595,-15205,-8014,-2080
2192,492,10201,98,-2606,751,871,322,1825,-4926,-15094,25517,-2461
2212,1265,9566,-226,-3961,1092,871,322,1825,-4926,-15094,25517,-2461
-1166,-5103,5114,178,-4060,1026,1094,324,1700,-27472,-14781,-18334,-2632
-2551,-6472,5171,-1041,-9637,-439,1424,336,1432,-17759,-14274,17384,-3517
18061,-8874,1602,-3512,-13887,-3269,1424,336,1432,-17759,-14274,17384,-3517
4914,3223,5558,3301,-1919,2213,1424,336,1432,-17759,-14274,17384,-3517
6930,-2166,2738,5705,12410,-1062,2040,151,86,-2412,-9308,32086,-7555
3903,530,-1766,-11260,15837,-15742,2040,151,86,-2412,-9308,32086,-7555
2893,-2000,1091,-11260,15837,-15742,2040,151,86,-2412,-9308,32086,-7555
3276,-605,-1169,3066,114,-4159,-313,1994,-344,-790,-8461,27152,-8854
2461,172,700,5145,2036,-3904,-313,1994,-344,-790,-8461,27152,-8854
2739,-220,1701,11785,-864,-1359,-465,1800,-857,-23879,-7377,28660,-9361
2691,-995,71,10410,-578,-1610,-465,1800,-857,-23879,-7377,28660,-9361
2666,-777,-357,7147,-2495,-1318,-592,1475,-1290,-9242,-6363,-26718,-10089
2598,280,940,9342,-2304,-638,-592,1475,-1290,-9242,-6363,-26718,-10089
2584,535,1080,11525,-3201,583,-723,979,-1646,28760,-5076,22045,-11178
2802,259,307,9361,-3034,383,-723,979,-1646,28760,-5076,22045,-11178
2698,214,243,6308,-3214,-271,-892,546,-1760,-20252,-4172,29227,-11662
2912,511,87,6651,-3270,-265,-892,546,-1760,-20252,-4172,29227,-11662
3056,551,27,7092,-4026,41,-1086,158,-1728,26809,-3452,-17808,-11846
3258,979,401,7241,-4565,448,-1086,158,-1728,26809,-3452,-17808,-11846
3250,905,382,7614,-5345,1559,-1339,-193,-1536,-21195,-2847,11836,-12242
3219,856,0,7430,-5628,1893,-1339,-193,-1536,-21195,-2847,11836,-12242
3135,925,-204,7727,-6136,2058,-1610,-428,-1189,9981,-2379,22076,-12202
3695,1610,-26,8096,-6489,1867,-1610,-428,-1189,9981,-2379,22076,-12202
3902,1687,398,8858,-7271,1814,-1843,-580,-677,11765,-1784,12365,-11728
3259,1753,915,8724,-7120,2057,-1843,-580,-677,11765,-1784,12365,-11728
2500,1479,1191,6323,-3595,2339,-1996,-363,278,-30390,-728,6832,-10470
2176,797,1010,5784,-2817,2258,-1993,-294,364,-30390,-728,6832,-10470
1930,634,742,4929,-1884,2419,-1984,-146,485,-17008,-381,8520,-10207
1612,149,238,4866,-1573,2742,-1984,-146,485,-17008,-381,8520,-10207
1494,-139,61,5277,-1545,3486,-1956,134,590,4283,-229,-26423,-9832
2244,-802,1043,5561,-1484,3655,-1956,134,590,4283,-229,-26423,-9832
2617,-1197,1276,4195,6251,3832,-1548,1317,-246,19622,-279,-16805,-9538
2671,-1360,2249,4702,6827,4242,-1465,1368,-419,19622,-279,-16805,-9538
2819,-1966,2149,3263,6872,4559,-1242,1450,-739,13275,-1218,19426,-10165
3436,-2139,1511,1726,6935,4646,-1242,1450,-739,13275,-1218,19426,-10165
3735,-1884,1956,1936,6867,5284,-805,1563,-1049,-26914,-2649,22305,-10409
2809,-1643,2340,2772,7217,5892,-805,1563,-1049,-26914,-2649,22305,-10409
3171,-1463,2385,2188,7303,6186,-215,1567,-1300,-16014,-4103,4966,-10221
2892,-1434,3030,1865,6777,6235,-215,1567,-1300,-16014,-4103,4966,-10221
3041,-1658,3304,1183,6443,6166,388,1479,-1361,-16110,-5524,-5524,-9750
3597,-1450,3713,927,6165,5912,388,1479,-1361,-16110,-5524,-5524,-9750
3538,-1327,3883,966,6567,5356,920,1322,-1264,14247,-6849,16464,-9152
3310,-1098,3875,843,6810,5086,920,1322,-1264,14247,-6849,16464,-9152
3291,-982,4036,625,7128,4515,1379,1111,-1027,-27277,-8168,4732,-8430
3547,-997,4582,541,7100,4193,1379,1111,-1027,-27277,-8168,4732,-8430
3491,-843,4746,-89,6762,3389,1705,906,-680,-14940,-9400,-29385,-7539
3135,-535,4836,-731,6859,2235,1705,906,-680,-14940,-9400,-29385,-7539
3232,-505,5055,-731,6859,2235,1885,755,-259,-11597,-10581,-17575,-6725
3162,-55,5153,-860,6927,1988,1885,755,-259,-11597,-10581,-17575,-6725
3037,-16,5215,-1416,7201,1558,1934,640,208,7533,-11734,-23499,-5980
3656,181,5234,-1574,7301,1338,1934,640,208,7533,-11734,-23499,-5980
4483,203,4418,-2525,7744,369,1623,432,1170,24477,-13874,13340,-4044
4871,110,3823,-2617,7642,346,1523,391,1311,24477,-13874,13340,-4044
4938,1111,986,-2213,6420,1503,944,131,1812,10990,-15127,5392,-1771
6173,1231,-2337,-2033,5956,2102,830,72,1870,10990,-15127,5392,-1771
6088,1414,-3479,-1757,4663,2572,632,-39,1947,-31481,-15225,-3370,-526
17640,2561,-456,-673,1697,1865,317,-214,2011,17952,-15034,-24301,417
17603,-1663,3494,4091,3735,445,482,-169,1983,17952,-15034,-24301,417
554,-2119,12710,-1568,-1993,-4119,536,-184,1967,16047,-15146,-3335,-14
4790,-2384,20873,1174,247,-918,513,-83,1980,-2477,-15216,-31778,-381
6408,-819,19875,321,-504,-707,520,-45,1980,2362,-15210,-16093,-575
5495,465,23921,1967,-1419,-186,536,24,1976,26372,-15211,-8548,-802
