-1198,2248,20584,1429,2536,-226,-2033,-6,-245,-8635,10298,-20281,4016
1000,3719,20051,2060,1962,674,-2022,12,-323,-1077,10009,-27719,4243
4233,6550,17895,177,-2480,654,-2022,12,-323,-1077,10009,-27719,4243
3897,5875,16487,3729,-1152,1625,-2037,90,-183,18442,10392,-23386,4772
3213,7505,10891,2525,-2968,2971,-2037,90,-183,18442,10392,-23386,4772
5102,5532,12672,4067,-3474,2943,-2026,294,24,-12160,10907,-18858,5558
-2326,1284,10927,3735,-4352,3349,-2026,294,24,-12160,10907,-18858,5558
1630,1694,5937,113,-5423,3368,-1961,508,298,10329,11603,-6629,6374
634,-6,3609,-3804,-4194,1252,-1961,508,298,10329,11603,-6629,6374
-580,-1835,5066,-4367,-8785,571,-1835,501,757,-17746,12889,11109,4907
-2999,3762,2088,-2386,-8679,1880,-1835,501,757,-17746,12889,11109,4907
4006,6102,-450,-5910,-9389,4311,-1479,449,1342,11870,14387,700,3586
13090,-13447,923,-4561,-22661,2057,-1479,449,1342,11870,14387,700,3586
-111,-3949,-2506,-25917,3072,-8983,-919,-210,1817,23214,15367,-1240,251
-6770,3584,9060,-26920,9689,-10140,-919,-210,1817,23214,15367,-1240,251
5534,1503,5308,16289,-4221,18813,-1323,-483,1486,19309,14871,805,-1021
1948,2154,1353,9141,-5761,13933,-1323,-483,1486,19309,14871,805,-1021
5419,-882,-4704,-18818,8236,-8550,-1435,-540,1357,-29204,14809,-27725,-1389
2906,368,36,-18818,8236,-8550,-1435,-540,1357,-29204,14809,-27725,-1389
2815,-2,1879,-9288,4750,553,-1800,-458,860,-7677,13802,11740,-2003
2847,278,2586,-1340,3142,3924,-1914,-402,604,-29876,13165,28293,-2450
3326,-193,1660,-1340,3142,3924,-1914,-402,604,-29876,13165,28293,-2450
3466,-154,1587,-6154,3257,3401,-1999,-245,367,29985,12420,23632,-2980
3504,588,1987,-6154,3257,3401,-1999,-245,367,29985,12420,23632,-2980
3659,668,1516,-5339,4019,3260,-2044,-57,112,-14940,11425,-27003,-3434
3307,1042,940,-6555,4179,2859,-2044,-57,112,-14940,11425,-27003,-3434
3046,897,696,-7358,3853,2710,-2038,132,-144,-25126,10104,-12018,-4399
3297,14,-367,-8457,3340,2723,-2038,132,-144,-25126,10104,-12018,-4399
3113,-241,-398,-10007,2046,2761,-1997,373,-251,-2983,8631,28429,-5521
2585,-292,-1,-9702,1583,2843,-1997,373,-251,-2983,8631,28429,-5521
2824,-284,85,-9218,689,2595,-1943,620,-181,-27244,7171,13152,-6349
2890,-403,-205,-9187,200,2225,-1943,620,-181,-27244,7171,13152,-6349
2770,-545,-130,-10063,-6,1344,-1899,764,21,-7260,5831,-25792,-7013
2660,-745,-148,-10036,-136,976,-1899,764,21,-7260,5831,-25792,-7013
2764,-902,-265,-10459,-1012,343,-1878,758,302,21826,4548,-12719,-7730
3020,-1153,-299,-10426,-1651,156,-1878,758,302,21826,4548,-12719,-7730
3134,-1413,-363,-10467,-2732,-193,-1843,604,656,-8657,3423,6831,-8166
3368,-1347,-198,-10641,-2892,-577,-1843,604,656,-8657,3423,6831,-8166
3364,-1111,127,-9832,-2843,-1303,-1777,279,978,-27154,2476,-14816,-7738
3644,-874,-426,-9890,-2804,-1801,-1777,279,978,-27154,2476,-14816,-7738
3674,-1064,-672,-10720,-2622,-2998,-1683,-202,1149,-17567,1777,22090,-7594
4058,-1276,-746,-10482,-2608,-3504,-1683,-202,1149,-17567,1777,22090,-7594
4177,-1441,-811,-10020,-2628,-4198,-1521,-778,1128,1565,1364,16559,-7360
4173,-1313,-590,-9660,-2438,-4477,-1521,-778,1128,1565,1364,16559,-7360
4098,-1154,-435,-8531,-2168,-4793,-1282,-1299,928,-16435,1245,-16335,-6464
4213,-1142,-484,-8268,-2077,-4985,-1282,-1299,928,-16435,1245,-16335,-6464
4262,-1247,-579,-8172,-1755,-5463,-973,-1697,603,-12683,1374,-19187,-5707
3977,-1519,-433,-7922,-1441,-5590,-973,-1697,603,-12683,1374,-19187,-5707
3850,-1857,-296,-7922,-1441,-5590,-973,-1697,603,-12683,1374,-19187,-5707
3722,-1875,-116,-6234,341,-6130,-219,-2021,-240,28567,2378,-23429,-3932
3517,-1653,103,-6053,572,-6169,-219,-2021,-240,28567,2378,-23429,-3932
3501,-1468,181,-6021,984,-5959,191,-1940,-625,14176,3179,16150,-3265
3435,-1152,93,-5917,1158,-5638,191,-1940,-625,14176,3179,16150,-3265
3421,-897,-120,-5963,1728,-5055,554,-1724,-954,2150,3961,-29749,-2421
3483,-503,-750,-5873,2024,-4825,554,-1724,-954,2150,3961,-29749,-2421
3465,-628,-593,-5965,3421,-5041,1203,-1000,-1321,9978,5749,-22334,-1624
3193,-324,-153,-5965,3421,-5041,1203,-1000,-1321,9978,5749,-22334,-1624
3138,-123,262,-4067,3553,-4619,1482,-576,-1289,17021,6743,-12931,-1075
3253,91,686,-4067,3553,-4619,1482,-576,-1289,17021,6743,-12931,-1075
3454,162,716,-3377,2892,-3673,1663,-235,-1171,-31566,7542,-10139,-552
3899,507,1496,-1941,3171,-2488,1782,23,-1008,-7157,8249,7891,-482
5110,773,2010,-1705,3303,-2352,1816,86,-942,-7157,8249,7891,-482
5459,583,1813,-5433,5454,-2660,1946,470,-427,13954,10015,20683,-176
4674,744,2342,-5580,6349,-2422,1946,470,-427,13954,10015,20683,-176
4499,655,2378,-5042,8008,-1816,1942,637,116,30851,11270,24129,-162
5251,671,2411,-6016,8737,-1345,1793,650,745,24773,12553,-2353,-266
5474,323,2607,-4302,8956,172,1489,499,1313,19891,13624,-273,-514
6010,405,2057,-1980,9105,1348,1069,314,1717,-4931,14477,-13140,-564
6340,-147,986,-876,9396,1961,903,274,1817,-4931,14477,-13140,-564
6399,0,586,251,9104,2236,548,232,1959,-19848,15178,-5856,233
5997,667,505,1798,8920,2587,548,232,1959,-19848,15178,-5856,233
5498,337,558,4852,8563,3280,32,404,2007,-16900,15579,16352,1343
4617,237,-45,4912,8214,2918,32,404,2007,-16900,15579,16352,1343
4092,130,-205,3761,7212,1507,-401,694,1884,-28327,15567,-13542,3275
2998,-158,23,3636,6846,929,-401,694,1884,-28327,15567,-13542,3275
2559,-326,278,3415,6212,-517,-760,906,1671,32156,15214,8729,4386
2998,-605,190,2576,5769,-1372,-760,906,1671,32156,15214,8729,4386
2999,-233,-253,419,5343,-2608,-1089,938,1458,2416,14728,-25520,5020
2867,376,-302,123,5589,-2556,-1089,938,1458,2416,14728,-25520,5020
2738,259,-447,207,5551,-1532,-1387,865,1233,9893,14204,-23720,5283
3933,-138,-1867,-3023,3578,-1015,-1578,757,1062,-17206,13878,-18426,5048
2947,440,-2031,342,4154,-1158,-1718,630,918,29582,13578,-29977,4746
2001,609,-2538,-2109,3224,-3034,-1842,519,728,-32120,13080,-13254,4812
2157,-992,-3897,-2703,2078,-4011,-1944,224,601,9535,12733,-21216,3501
-26930,-11084,-10640,-226,18980,3254,-2015,148,328,-30244,12053,10818,3370
1567,3264,12009,12360,8687,-2790,-2005,-73,408,-477,12214,7182,2332
11769,345,12864,-2966,-376,-1635,-1997,9,451,-16588,12147,6942,3099
