2000	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	0	-1	-2	0	-2	-3	100	92	86	1024	1023	1021	10	7	2	19	10	-	0.00	Snow
2	3	1	-1	1	-1	-2	100	89	81	1028	1026	1022	10	9	6	21	13	-	0.00	Rain , Snow
3	1	0	-1	-1	-2	-3	93	87	80	1028	1025	1022	10	10	10	39	21	-	0.00	 
4	4	2	0	2	0	-2	93	87	81	1022	1020	1016	10	10	10	39	29	-	0.00	Rain
5	5	2	-1	3	0	-3	93	82	65	1024	1020	1016	10	10	5	34	23	-	0.00	Rain
6	0	-2	-4	-1	-2	-5	100	96	86	1023	1022	1021	8	1	0	16	8	-	0.00	Fog
7	3	1	-1	2	1	-1	100	95	87	1025	1024	1021	10	7	0	27	11	-	0.00	Fog
8	4	2	0	2	1	-1	100	93	87	1024	1022	1022	10	5	0	13	8	-	0.00	Fog
9	2	0	-1	0	-1	-2	100	91	81	1027	1023	1022	10	6	3	10	6	-	0.00	Rain , Snow
10	1	0	-1	0	-2	-3	100	92	80	1037	1032	1027	10	5	0	11	5	-	0.00	Fog , Snow
11	0	-2	-5	-4	-5	-6	93	76	69	1038	1037	1036	10	10	9	10	5	-	0.00	 
12	-1	-3	-6	-5	-6	-8	93	86	74	1036	1033	1029	10	8	5	16	10	-	0.00	 
13	-4	-4	-5	-7	-7	-8	86	82	74	1029	1024	1022	10	10	10	14	11	-	0.00	Snow
14	-4	-6	-6	-6	-7	-7	100	86	80	1027	1024	1022	10	8	5	13	8	-	0.00	 
15	0	-3	-6	-3	-5	-7	100	90	75	1030	1028	1027	10	6	2	14	8	-	0.00	Snow
16	0	-3	-6	-3	-5	-7	93	80	64	1032	1029	1024	10	10	7	32	13	-	0.00	Snow
17	6	2	-1	3	1	-3	93	85	76	1024	1014	1009	10	10	10	55	32	80	0.00	Rain
18	5	2	-1	3	0	-4	100	84	70	1014	1008	1001	10	10	2	50	35	74	0.00	Rain , Snow
19	0	-1	-2	-4	-4	-6	80	75	69	1026	1020	1014	10	10	10	39	29	58	0.00	Snow
20	2	-1	-4	-1	-4	-7	87	80	74	1026	1021	1013	10	10	7	45	27	61	0.00	Rain , Snow
21	2	-2	-6	0	-4	-9	100	83	69	1020	1012	1005	10	9	0	53	39	84	0.00	Rain , Snow
22	0	-3	-6	-2	-4	-8	100	90	80	1020	1011	1005	10	7	0	23	8	-	0.00	Fog , Snow
23	-3	-9	-14	-4	-8	-16	100	89	79	1018	1011	1005	10	6	0	26	13	-	0.00	Fog , Snow
24	-6	-11	-15	-11	-13	-16	92	80	63	1023	1021	1018	10	10	10	19	11	-	0.00	Snow
25	-6	-10	-14	-11	-13	-16	92	80	68	1027	1026	1023	10	10	10	27	13	-	0.00	Snow
26	-3	-7	-11	-6	-9	-14	85	80	74	1027	1027	1026	10	10	10	40	24	-	0.00	Snow
27	0	-2	-3	-3	-4	-6	86	82	75	1027	1026	1022	10	10	10	32	27	-	0.00	 
28	1	-3	-6	-3	-7	-9	80	74	60	1022	1018	1013	10	10	10	39	29	-	0.00	 
29	5	3	1	3	0	-3	93	81	70	1013	1003	997	10	10	10	58	40	77	0.00	Rain
