1999	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	-1	-2	-3	-3	-4	-5	93	87	80	1019	1018	1018	10	8	6	18	13	-	0.00	 
2	-3	-4	-4	-4	-5	-5	93	91	86	1018	1015	1013	8	6	4	14	10	-	0.00	 
3	3	-1	-4	1	-2	-5	93	89	80	1013	1010	1006	10	7	4	21	10	-	0.00	Rain
4	9	6	3	7	3	1	100	86	81	1017	1014	1007	10	10	10	40	23	47	0.00	Rain
5	12	9	7	9	7	5	93	84	77	1021	1020	1017	10	10	10	35	21	-	0.00	 
6	13	8	4	6	4	1	93	77	54	1020	1017	1013	-	-	-	32	18	-	0.00	 
7	11	6	1	5	2	0	100	76	57	1013	1007	1005	10	10	10	50	23	61	0.00	Rain , Snow
8	5	3	1	3	1	0	100	93	81	1007	1002	1000	10	10	8	32	18	-	0.00	Rain
9	5	2	0	2	0	-1	93	88	75	1007	1003	1000	10	10	10	29	18	-	0.00	Rain , Snow
10	0	-1	-2	0	-3	-5	100	87	69	1014	1012	1007	10	10	10	26	14	-	0.00	Snow
11	2	0	-1	1	-1	-3	100	86	81	1011	1005	1001	10	10	5	26	18	-	0.00	Rain , Snow
12	1	-2	-5	0	-4	-8	100	89	80	1011	1008	1002	10	7	0	35	19	-	0.00	Snow
13	1	-2	-5	-1	-5	-8	93	83	74	1009	1005	1003	10	10	4	32	19	-	0.00	Snow
14	2	0	-1	0	-1	-3	93	86	80	1010	1005	1003	10	10	10	40	27	55	0.00	Rain , Snow
15	4	2	0	2	1	-2	93	84	75	1014	1011	1009	10	10	10	50	31	68	0.00	Rain
16	8	6	3	0	-1	-2	81	64	50	1013	1012	1011	10	10	10	32	21	-	0.00	Rain
17	8	3	-2	1	-1	-3	93	71	50	1020	1016	1013	9	8	8	21	14	-	0.00	 
18	-1	-2	-3	-1	-2	-3	100	97	93	1026	1024	1020	7	2	0	11	6	-	0.00	Fog
19	-1	-2	-2	-1	-2	-2	100	97	93	1027	1026	1025	2	0	0	11	6	-	0.00	Fog
20	-2	-2	-2	-2	-2	-3	100	98	93	1027	1026	1025	0	0	0	6	5	-	0.00	Fog
21	-2	-3	-3	-3	-3	-3	100	98	93	1027	1026	1026	4	2	0	6	5	-	0.00	Fog
