2002	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	-2	-7	-11	-4	-7	-12	93	87	86	1032	1030	1027	10	10	3	40	26	-	0.00	Snow
2	2	-2	-5	-2	-4	-8	86	81	70	1033	1026	1021	10	10	10	53	35	72	0.00	Snow
3	-5	-9	-15	-7	-12	-16	92	81	68	1038	1036	1033	10	10	10	24	14	-	0.00	Snow
4	-8	-12	-15	-12	-14	-16	100	86	73	1038	1036	1036	8	5	3	13	3	-	0.00	Fog
5	-3	-9	-14	-9	-13	-16	92	77	59	1036	1035	1034	9	8	8	21	10	-	0.00	 
6	-2	-7	-11	-3	-10	-14	93	75	59	1034	1031	1026	10	9	5	26	16	-	0.00	Snow
7	1	-1	-3	0	-2	-3	100	93	86	1031	1029	1027	10	9	6	21	11	-	0.00	Snow
8	2	-1	-3	0	-1	-3	100	95	81	1036	1033	1031	10	6	2	8	2	-	0.00	Fog
9	0	-2	-4	-2	-3	-4	100	93	86	1038	1037	1036	10	7	5	10	5	-	0.00	 
10	-4	-6	-6	-4	-6	-7	100	98	93	1037	1035	1034	6	3	0	8	5	-	0.00	Fog , Snow
11	-3	-6	-8	-4	-6	-9	100	97	93	1034	1033	1032	8	4	0	11	6	-	0.00	Fog
12	-1	-3	-5	-2	-3	-6	100	97	86	1032	1031	1031	7	4	0	21	8	-	0.00	Fog , Snow
13	-2	-3	-4	-2	-3	-4	100	99	93	1032	1031	1030	4	2	0	16	6	-	0.00	Fog , Snow
14	-3	-4	-5	-3	-5	-6	100	97	93	1031	1029	1027	3	0	0	8	3	-	0.00	Fog
15	-3	-4	-6	-4	-5	-6	100	96	93	1027	1024	1020	10	5	0	13	5	-	0.00	Fog
16	-5	-6	-6	-6	-7	-7	100	94	93	1024	1021	1019	10	8	5	14	8	-	0.00	Snow
17	-1	-3	-6	-3	-4	-6	100	92	86	1025	1024	1023	10	7	4	13	10	-	0.00	Snow
18	0	-2	-4	-2	-3	-5	100	92	80	1024	1022	1020	10	9	6	26	13	-	0.00	 
19	3	0	-2	1	-1	-3	93	89	81	1020	1017	1015	10	9	5	37	21	-	0.00	Rain , Snow
20	4	3	2	2	1	0	93	88	81	1019	1017	1011	10	10	10	37	29	-	0.00	Rain
21	7	6	4	5	4	2	93	90	87	1013	1011	1008	10	10	10	52	39	74	0.00	Rain
22	8	4	0	5	2	0	100	89	71	1012	1011	1010	10	6	0	40	19	-	0.00	Fog
23	8	4	2	3	1	0	93	81	71	1013	1010	1004	10	10	10	32	23	-	0.00	Rain
24	10	7	4	5	3	0	87	75	66	1004	1003	1002	10	10	10	39	18	53	0.00	Rain
25	7	3	1	5	0	-3	93	78	61	1020	1014	1004	10	10	7	47	27	64	0.00	Rain
26	9	6	2	5	3	-1	93	80	62	1018	1014	1010	10	10	10	47	27	64	0.00	Rain
27	10	9	7	7	4	2	93	75	58	1013	1006	1001	10	10	10	66	40	90	0.00	Rain
28	13	9	6	9	7	3	100	81	66	1020	1016	1013	10	10	6	55	26	76	0.00	Rain
29	13	10	7	3	1	-3	71	58	35	1024	1022	1020	-	-	-	53	39	72	0.00	 
30	12	9	6	7	5	2	87	81	71	1024	1022	1017	10	10	10	34	21	-	0.00	 
31	12	8	4	5	2	0	87	68	54	1020	1016	1014	10	10	10	42	18	60	0.00	 
2002	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Feb	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	11	7	3	5	3	2	93	80	62	1025	1023	1021	10	10	10	32	19	40	0.00	 
2	16	10	4	5	4	2	93	70	39	1030	1028	1025	-	-	-	32	18	-	0.00	 
3	10	5	0	4	2	0	100	87	66	1027	1024	1019	9	7	4	14	8	-	0.00	Fog
4	11	6	1	5	1	-1	100	80	54	1023	1021	1018	10	2	0	34	13	-	0.00	Fog
5	13	7	1	5	1	-3	87	68	54	1021	1013	1005	10	10	10	27	16	-	0.00	 
6	9	7	3	6	4	3	100	89	66	1008	1005	1004	10	3	1	13	6	-	0.00	Rain
7	8	6	3	4	2	1	100	87	66	1022	1016	1009	10	6	1	19	8	-	0.00	Rain
8	6	3	2	4	2	1	93	86	76	1021	1019	1017	10	10	10	42	27	-	0.00	Rain , Snow
9	11	8	5	7	6	4	93	84	71	1018	1011	1004	10	10	10	45	29	58	0.00	Rain
10	8	6	4	7	3	2	93	84	76	1012	1007	1001	10	10	10	40	29	60	0.00	Rain
11	10	7	4	6	4	2	87	80	76	1012	1009	1007	10	10	10	48	32	66	0.00	Rain
12	12	10	9	8	7	6	93	82	72	1011	1008	1005	10	10	10	55	42	76	0.00	Rain
13	8	7	4	7	4	2	93	90	87	1018	1014	1011	10	10	10	27	18	-	0.00	Rain
14	4	0	-4	2	-2	-5	100	85	65	1029	1024	1018	10	10	10	24	13	-	0.00	 
15	3	-1	-5	-3	-4	-7	93	80	60	1031	1030	1029	-	-	-	23	13	-	0.00	 
16	6	0	-5	-3	-4	-7	93	72	45	1031	1029	1026	9	8	8	26	16	-	0.00	 
17	7	2	-2	1	-2	-4	93	80	61	1026	1022	1018	9	8	8	13	6	-	0.00	 
18	7	3	-1	2	0	-2	100	82	66	1018	1016	1014	10	8	5	32	14	-	0.00	 
19	5	2	0	1	-1	-3	100	79	57	1017	1014	1009	10	10	5	53	27	74	0.00	Rain , Snow
20	6	3	1	3	2	-1	100	85	76	1011	998	990	10	10	7	53	34	82	0.00	Rain
21	5	0	-4	2	-2	-6	93	83	70	1019	1003	990	10	10	3	45	26	64	0.00	Rain , Snow
22	3	-2	-6	1	-4	-8	100	82	52	1019	1008	999	10	9	1	47	21	63	0.00	Snow
23	5	2	0	3	1	-1	100	89	70	999	997	993	10	9	2	40	31	60	0.00	Rain , Snow
24	2	0	-1	0	-2	-3	100	85	70	1010	1003	995	10	9	1	39	29	60	0.00	Rain , Snow
25	2	0	-1	2	0	-3	100	95	86	1009	1005	1003	10	8	3	26	18	-	0.00	Rain , Snow
26	11	7	3	6	5	3	100	80	67	1004	1000	997	10	10	10	48	31	72	0.00	Rain
27	10	7	3	6	3	0	82	75	66	1004	1000	997	10	10	8	55	32	77	0.00	Rain
28	8	4	2	1	0	-1	93	77	53	1007	1004	1000	10	10	6	47	24	66	0.00	Rain , Snow
2002	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Mar	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	9	4	0	2	-1	-1	93	74	53	1011	1009	1007	10	10	10	37	18	-	0.00	 
2	2	0	-1	0	-2	-3	93	80	70	1013	1011	1010	10	10	10	23	11	-	0.00	 
3	3	0	-2	-1	-3	-4	93	75	60	1019	1015	1010	10	10	8	24	18	-	0.00	Snow
4	9	4	0	2	-1	-4	93	75	57	1020	1019	1017	10	10	10	23	14	-	0.00	 
5	8	2	-3	2	0	-3	100	85	57	1017	1012	1010	9	3	0	11	6	-	0.00	Fog
6	14	6	-2	4	1	-2	100	74	38	1011	1007	1003	10	7	2	34	11	-	0.00	Rain
7	11	8	5	6	3	-1	93	76	61	1016	1007	1004	10	10	4	53	37	80	0.00	Rain
8	10	6	2	0	-2	-4	81	63	37	1026	1023	1017	10	10	10	37	26	58	0.00	 
