2006	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	1	-1	-3	1	-1	-4	100	98	93	1010	1006	1003	4	1	0	13	5	-	0.00	Fog , Rain
2	1	-1	-2	0	-1	-2	100	96	93	1019	1014	1010	10	7	0	27	13	-	0.00	Fog , Rain , Snow
3	1	0	0	0	-1	-1	100	95	87	1027	1023	1019	10	8	3	34	26	-	0.00	Rain , Snow
4	0	-1	-1	-1	-2	-2	100	94	87	1028	1027	1026	10	9	5	19	13	-	0.00	Snow
5	0	-1	-1	-1	-2	-3	100	92	86	1026	1023	1021	10	9	4	24	16	-	0.00	Snow
6	-1	-2	-2	-2	-2	-3	100	93	86	1025	1023	1020	10	7	5	21	16	-	0.00	Rain , Snow
7	0	-2	-4	-2	-3	-5	93	92	86	1029	1027	1025	7	6	5	19	11	-	0.00	Snow
8	-2	-6	-9	-5	-7	-12	100	87	74	1032	1031	1029	9	7	5	19	14	-	0.00	 
9	-3	-7	-10	-8	-10	-13	93	83	69	1032	1031	1030	9	8	7	11	6	-	0.00	 
10	-5	-9	-12	-8	-11	-13	100	90	80	1031	1030	1029	9	5	0	14	10	-	0.00	Fog
11	-3	-8	-12	-5	-9	-13	100	91	80	1031	1029	1028	6	3	0	11	6	-	0.00	Fog
12	-2	-6	-9	-3	-6	-10	100	92	86	1035	1033	1029	10	2	0	13	6	-	0.00	Fog , Snow
13	-2	-4	-6	-4	-5	-7	100	94	86	1036	1034	1033	5	2	1	14	6	-	0.00	 
14	-3	-4	-7	-4	-6	-7	100	95	86	1033	1032	1032	10	5	0	10	5	-	0.00	Fog
15	-3	-6	-8	-6	-7	-9	100	89	80	1032	1029	1027	10	8	3	21	10	-	0.00	Fog
16	-6	-10	-14	-7	-10	-15	100	90	86	1027	1024	1021	10	4	0	16	6	-	0.00	Fog
17	-4	-6	-7	-4	-7	-8	100	90	80	1021	1013	1002	10	6	2	23	11	-	0.00	Snow
18	3	-1	-4	0	-2	-5	100	89	75	1014	1003	999	10	9	1	34	18	47	0.00	Rain , Snow
19	-2	-3	-5	-4	-5	-6	93	87	80	1025	1022	1014	10	7	5	24	10	-	0.00	 
20	3	0	-3	1	-1	-4	100	90	81	1023	1019	1013	10	8	2	37	10	-	0.00	Rain
21	3	2	1	1	0	-1	93	90	81	1021	1015	1012	10	10	10	42	27	-	0.00	Rain
22	1	-7	-15	0	-9	-18	100	86	68	1039	1031	1021	10	9	3	34	19	-	0.00	Snow
23	-12	-14	-17	-16	-17	-19	85	79	67	1042	1041	1039	9	8	7	10	5	-	0.00	 
24	-9	-13	-16	-13	-16	-17	92	84	73	1042	1038	1032	7	5	2	11	3	-	0.00	 
25	-7	-11	-15	-11	-14	-16	92	79	67	1031	1021	1015	10	6	3	14	5	-	0.00	 
26	-7	-9	-11	-9	-12	-14	86	77	63	1022	1018	1015	10	10	9	16	11	-	0.00	 
27	-6	-10	-13	-10	-13	-15	86	79	68	1026	1024	1022	9	9	8	14	8	-	0.00	 
