2010	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	4	0	-3	3	0	-3	100	97	93	998	992	990	10	5	0	16	11	-	0.00	Fog , Rain , Snow
2	-2	-3	-4	-3	-4	-6	100	89	80	1017	1008	998	10	8	2	27	16	-	0.00	Snow
3	-1	-3	-6	-4	-5	-8	100	88	75	1018	1017	1016	10	8	3	26	16	-	0.00	Snow
4	-2	-4	-7	-4	-5	-8	100	92	80	1017	1014	1012	9	5	1	11	5	-	0.00	Fog , Snow
5	-5	-8	-10	-6	-8	-11	100	91	80	1011	1008	1003	10	5	1	14	6	-	0.00	Fog , Snow
6	-4	-6	-6	-4	-6	-7	100	92	80	1003	1001	1000	10	5	1	14	6	-	0.00	Fog , Snow
7	-1	-4	-7	-7	-8	-9	86	82	60	1014	1008	1003	10	10	8	19	11	-	0.00	 
8	-4	-6	-7	-5	-7	-9	100	94	86	1015	1013	1008	7	4	1	24	13	-	0.00	Snow
9	-4	-6	-6	-5	-6	-7	100	94	93	1008	1006	1005	5	3	1	21	16	-	0.00	Snow
10	-3	-4	-5	-3	-4	-6	100	97	93	1011	1008	1005	6	3	1	16	13	-	0.00	Snow
11	-5	-7	-8	-6	-7	-9	100	94	86	1017	1014	1011	8	5	3	16	10	-	0.00	Snow
12	-6	-7	-8	-7	-8	-9	100	94	93	1018	1016	1013	6	2	0	11	6	-	0.00	Fog
13	-3	-7	-9	-4	-7	-10	100	93	86	1013	1011	1010	10	4	2	21	8	-	0.00	 
14	-2	-3	-3	-4	-4	-5	93	86	86	1015	1012	1011	10	10	9	19	11	-	0.00	 
15	-1	-2	-3	-3	-4	-4	93	85	80	1027	1022	1015	10	10	9	21	13	-	0.00	Snow
16	-1	-3	-5	-4	-4	-6	93	85	80	1027	1024	1017	10	9	5	21	11	-	0.00	 
17	0	-3	-7	-1	-3	-8	100	95	87	1018	1015	1013	8	4	1	24	11	-	0.00	Rain , Snow
